label,tt,result,n_covered,n_empty,total_domain,profiles,edges_partial,edges_incompat
lift_xor_2301,0xF70208FD,EMPTY+GENUINE,30,10,42103,4120,190,4
lift_and_2301,0x08FD0000,UNSAT,40,0,251291,9711,391,2
lift_2563,0x0A030A03,UNSAT,40,0,237682,8384,398,4
lift_xor_2563,0xF5FC0A03,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_2563,0x0A030000,UNSAT,40,0,366553,10943,332,3
lift_2572,0x0A0C0A0C,UNSAT,40,0,246766,9439,408,0
lift_xor_2572,0xF5F30A0C,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_2572,0x0A0C0000,UNSAT,40,0,369616,11498,335,0
lift_2606,0x0A2E0A2E,UNSAT,40,0,151574,7092,437,0
lift_xor_2606,0xF5D10A2E,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_2606,0x0A2E0000,UNSAT,40,0,278225,9754,352,0
lift_2699,0x0A8B0A8B,UNSAT,40,0,151718,7090,425,4
lift_xor_2699,0xF5740A8B,EMPTY+GENUINE,28,12,40354,4080,166,4
lift_and_2699,0x0A8B0000,UNSAT,40,0,279083,9809,363,2
